epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,6515.39,0.91183,0.69777,1.23892,0.88555,0.83767,0.90035,0.67977,0.33528,0.58808,0.34471,0.003268,0.003268,0.003268
138,6562.92,0.91112,0.69848,1.24289,0.88317,0.83626,0.90068,0.6823,0.33468,0.57913,0.3445,0.0032185,0.0032185,0.0032185
139,6610.39,0.89914,0.69337,1.2355,0.87809,0.84515,0.9007,0.68005,0.33446,0.58035,0.34468,0.003169,0.003169,0.003169
140,6657.62,0.90492,0.69427,1.23691,0.87561,0.84683,0.90014,0.67937,0.33436,0.58225,0.34468,0.0031195,0.0031195,0.0031195
141,6705.01,0.89991,0.68878,1.23234,0.87778,0.844,0.9008,0.67772,0.33423,0.57538,0.34502,0.00307,0.00307,0.00307
142,6752.25,0.89741,0.68185,1.23133,0.87148,0.84667,0.89985,0.67901,0.33348,0.56419,0.3447,0.0030205,0.0030205,0.0030205
143,6799.66,0.90071,0.68808,1.23601,0.87104,0.84647,0.90103,0.67952,0.33399,0.5575,0.34498,0.002971,0.002971,0.002971
144,6846.88,0.89009,0.68217,1.22892,0.86547,0.84687,0.90069,0.67794,0.33387,0.54143,0.34465,0.0029215,0.0029215,0.0029215
145,6894.09,0.89238,0.68333,1.232,0.87505,0.84094,0.90123,0.67795,0.33369,0.53451,0.34452,0.002872,0.002872,0.002872
146,6941.29,0.89063,0.6805,1.22854,0.87565,0.84194,0.9014,0.67775,0.3336,0.53653,0.34448,0.0028225,0.0028225,0.0028225
147,6988.69,0.88712,0.67722,1.22711,0.87084,0.8435,0.90188,0.67749,0.33358,0.54061,0.34469,0.002773,0.002773,0.002773
148,7035.93,0.87936,0.67252,1.22105,0.85698,0.84769,0.90145,0.67817,0.33381,0.53328,0.34497,0.0027235,0.0027235,0.0027235
149,7083.05,0.88103,0.67083,1.22327,0.85592,0.84801,0.90146,0.67846,0.33337,0.52638,0.34477,0.002674,0.002674,0.002674
150,7131.92,0.88012,0.67543,1.22489,0.85771,0.8519,0.9012,0.67772,0.33356,0.5236,0.34532,0.0026245,0.0026245,0.0026245
151,7179.23,0.88416,0.67331,1.22339,0.8578,0.8511,0.90183,0.67827,0.33374,0.5232,0.34522,0.002575,0.002575,0.002575
152,7226.8,0.8717,0.66398,1.21501,0.85705,0.84747,0.90061,0.68089,0.33417,0.51734,0.34596,0.0025255,0.0025255,0.0025255
153,7274.29,0.87759,0.67123,1.22194,0.86506,0.84504,0.9005,0.67979,0.3344,0.51344,0.34607,0.002476,0.002476,0.002476
154,7321.56,0.86668,0.65988,1.20975,0.86666,0.84107,0.90059,0.68023,0.33494,0.51159,0.34651,0.0024265,0.0024265,0.0024265
155,7368.82,0.86801,0.66253,1.21417,0.86749,0.84503,0.90056,0.68004,0.33543,0.50887,0.34684,0.002377,0.002377,0.002377
156,7416.14,0.87024,0.66078,1.21452,0.85586,0.84552,0.8997,0.67937,0.33574,0.51158,0.34724,0.0023275,0.0023275,0.0023275
157,7463.35,0.8675,0.65591,1.21125,0.86018,0.84469,0.89975,0.67989,0.3361,0.51009,0.34726,0.002278,0.002278,0.002278
158,7510.66,0.85732,0.65432,1.20579,0.85571,0.84642,0.89888,0.67918,0.33596,0.51152,0.34728,0.0022285,0.0022285,0.0022285
